# congenital adrenal hyperplasia デモ用の候補リスト（1000 遺伝子）— メカニズム形式（any of these steps）の検証用
# 作成 2026-09-15。順序は下の構成の順（段階 0 以降は並びに依存しない）。
#   1. 正解 3: CYP21A2（原因、Open Targets 0.853・遺伝学 0.96）、
#      CRHR1（crinecerfont、ChEMBL CHEMBL291657 CRF1 受容体拮抗薬、NCT04490915）、
#      MC2R（atumelnant、NCT05907291 の登録に「MC2R antagonist」）
#   2. 別の病型の原因 6: CYP11B1, CYP17A1, POR, STAR, HSD3B2, CYP11A1（Open Targets 遺伝学 0.77〜0.95）
#   3. メカニズム関連 10（UniProt 機能で確認）
#      フィードバック: NR3C1, CRH, POMC ／ ACTH 受容体の補助: MRAP ／ アンドロゲン合成: HSD17B3, AKR1C3
#      アンドロゲン作用: AR, SRD5A2 ／ アルドステロン: CYP11B2, NR3C2
#   4. 同族デコイ 50: CYP 系のうちステロイド合成の 6 個を除き、Open Targets（MONDO_0018479）< 0.1
#   5. Open Targets 関連スコア上位 100（候補表に無い TNXA は除外）
#   ここまで重複を除いて 152 件。残り 848 件は genelist01_all.txt から seed=0 で無作為に補充。
# 形式: 記号<TAB>HGNC正式名<TAB>UniProt推奨タンパク質名<TAB>遺伝子記号の別名（UniProt Gene Names、カンマ区切り、最大4）
CYP21A2		Steroid 21-hydroxylase	CYP21,CYP21B
CRHR1		Corticotropin-releasing hormone receptor 1	CRFR,CRFR1,CRHR
MC2R		Adrenocorticotropic hormone receptor	ACTHR
CYP11B1		Cytochrome P450 11B1, mitochondrial	S11BH
CYP17A1		Steroid 17-alpha-hydroxylase/17,20 lyase	CYP17,S17AH
POR		NADPH--cytochrome P450 reductase	CYPOR
STAR		Steroidogenic acute regulatory protein, mitochondrial	STARD1
HSD3B2		3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 2	HSDB3B
CYP11A1		Cholesterol side-chain cleavage enzyme, mitochondrial	CYP11A
NR3C1		Glucocorticoid receptor	GRL
CRH		Corticotropin-releasing hormone	
POMC		Pro-opiomelanocortin	
MRAP		Melanocortin-2 receptor accessory protein	C21orf61,FALP
HSD17B3		17-beta-hydroxysteroid dehydrogenase type 3	EDH17B3,SDR12C2
AKR1C3		Aldo-keto reductase family 1 member C3	DDH1,HSD17B5,PGFS
AR		Androgen receptor	DHTR,NR3C4
SRD5A2		3-oxo-5-alpha-steroid 4-dehydrogenase 2	
CYP11B2		Cytochrome P450 11B2, mitochondrial	
NR3C2		Mineralocorticoid receptor	MCR,MLR
CYP1A1		Cytochrome P450 1A1	
CYP1A2		Cytochrome P450 1A2	
CYP1B1		Cytochrome P450 1B1	
CYP20A1		Cytochrome P450 20A1	
CYP24A1		1,25-dihydroxyvitamin D(3) 24-hydroxylase, mitochondrial	CYP24
CYP26A1		Cytochrome P450 26A1	CYP26,P450RAI1
CYP26B1		Cytochrome P450 26B1	CYP26A2,P450RAI2
CYP26C1		Cytochrome P450 26C1	
CYP27A1		Sterol 26-hydroxylase, mitochondrial	CYP27
CYP27B1		25-hydroxyvitamin D-1 alpha hydroxylase, mitochondrial	CYP1ALPHA,CYP27B
CYP27C1		Cytochrome P450 27C1	
CYP2A13		Cytochrome P450 2A13	
CYP2A6		Cytochrome P450 2A6	CYP2A3
CYP2A7		Cytochrome P450 2A7	CYP2A4
CYP2B6		Cytochrome P450 2B6	
CYP2C18		Cytochrome P450 2C18	
CYP2C19		Cytochrome P450 2C19	
CYP2C8		Cytochrome P450 2C8	
CYP2C9		Cytochrome P450 2C9	CYP2C10
CYP2D6		Cytochrome P450 2D6	CYP2DL1
CYP2D7		Cytochrome P450 2D7	
CYP2E1		Cytochrome P450 2E1	CYP2E
CYP2F1		Cytochrome P450 2F1	
CYP2J2		Cytochrome P450 2J2	
CYP2R1		Vitamin D 25-hydroxylase	
CYP2S1		Cytochrome P450 2S1	
CYP2U1		Cytochrome P450 2U1	
CYP2W1		Cytochrome P450 2W1	
CYP39A1		24-hydroxycholesterol 7-alpha-hydroxylase	
CYP3A4		Cytochrome P450 3A4	CYP3A3
CYP3A43		Cytochrome P450 3A43	
CYP3A5		Cytochrome P450 3A5	
CYP3A7		Cytochrome P450 3A7	
CYP46A1		Cholesterol 24-hydroxylase	CYP46
CYP4A11		Cytochrome P450 4A11	CYP4A2
CYP4A22		Cytochrome P450 4A22	
CYP4B1		Cytochrome P450 4B1	
CYP4F11		Cytochrome P450 4F11	
CYP4F12		Cytochrome P450 4F12	
CYP4F2		Cytochrome P450 4F2	
CYP4F22		Ultra-long-chain fatty acid omega-hydroxylase	
CYP4F3		Cytochrome P450 4F3	LTB4H
CYP4F8		Cytochrome P450 4F8	
CYP4V2		Cytochrome P450 4V2	
CYP4X1		Cytochrome P450 4X1	
CYP4Z1		Cytochrome P450 4Z1	
CYP51A1		Lanosterol 14-alpha demethylase	CYP51
CYP7A1		Cytochrome P450 7A1	CYP7
CYP7B1		Cytochrome P450 7B1	
CYP8B1		7-alpha-hydroxycholest-4-en-3-one 12-alpha-hydroxylase	CYP12
GML		Glycosyl-phosphatidylinositol-anchored molecule-like protein	LY6DL
FDX1		Adrenodoxin, mitochondrial	ADX
FDXR		NADPH:adrenodoxin oxidoreductase, mitochondrial	ADXR
FDX2		Ferredoxin-2, mitochondrial	FDX1L
CYP19A1		Aromatase	ARO1,CYAR,CYP19
