# cystinuria 用の候補リスト（5000 遺伝子）
# Open Targets (MONDO_0009067) の関連遺伝子 397 件と、
# 承認薬の標的 8 件を必ず含む（重複を除いて 397 件）。
# 残り 4603 件は HGNC approved/protein-coding から seed=0 で無作為に補充。
# 記号はすべて実在し、既知の正解が確実に含まれる。
# 形式: 記号<TAB>HGNC正式名<TAB>UniProt推奨タンパク質名（無い遺伝子は空欄）
A2ML1	alpha-2-macroglobulin like 1	Alpha-2-macroglobulin-like protein 1
A3GALT2	alpha 1,3-galactosyltransferase 2	Alpha-1,3-galactosyltransferase 2
AADACL3	arylacetamide deacetylase like 3	Arylacetamide deacetylase-like 3
AAMP	angio associated migratory cell protein	Angio-associated migratory cell protein
AASS	aminoadipate-semialdehyde synthase	Alpha-aminoadipic semialdehyde synthase, mitochondrial
AATF	apoptosis antagonizing transcription factor	Protein AATF
ABCA5	ATP binding cassette subfamily A member 5	Cholesterol transporter ABCA5
ABCA8	ATP binding cassette subfamily A member 8	ABC-type organic anion transporter ABCA8
ABCA9	ATP binding cassette subfamily A member 9	ATP-binding cassette sub-family A member 9
ABCB10	ATP binding cassette subfamily B member 10	ATP-binding cassette sub-family B member 10, mitochondrial
ABCB6	ATP binding cassette subfamily B member 6 (LAN blood group)	ATP-binding cassette sub-family B member 6
ABCB7	ATP binding cassette subfamily B member 7	Iron-sulfur clusters transporter ABCB7, mitochondrial
ABCC2	ATP binding cassette subfamily C member 2	ATP-binding cassette sub-family C member 2
ABCC4	ATP binding cassette subfamily C member 4 (PEL blood group)	ATP-binding cassette sub-family C member 4
ABCC6	ATP binding cassette subfamily C member 6	ATP-binding cassette sub-family C member 6
ABCC9	ATP binding cassette subfamily C member 9	ATP-binding cassette sub-family C member 9
ABCD1	ATP binding cassette subfamily D member 1	ATP-binding cassette sub-family D member 1
ABCG2	ATP binding cassette subfamily G member 2 (JR blood group)	Broad substrate specificity ATP-binding cassette transporter ABCG2
ABCG5	ATP binding cassette subfamily G member 5	ATP-binding cassette sub-family G member 5
ABHD12B	abhydrolase domain containing 12B	Protein ABHD12B
ABHD14B	abhydrolase domain containing 14B	Putative protein-lysine deacylase ABHD14B
ABHD16A	abhydrolase domain containing 16A, phospholipase	Phosphatidylserine lipase ABHD16A
ABHD16B	abhydrolase domain containing 16B	ABHD16B
ABHD17B	abhydrolase domain containing 17B, depalmitoylase	Alpha/beta hydrolase domain-containing protein 17B
ABHD18	abhydrolase domain containing 18	Cardiolipin-specific deacylase, mitochondrial
ABI3BP	ABI family member 3 binding protein	Target of Nesh-SH3
ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	Tyrosine-protein kinase ABL1
ABLIM2	actin binding LIM protein family member 2	Actin-binding LIM protein 2
ABRACL	ABRA C-terminal like	Costars family protein ABRACL
ABRAXAS1	abraxas 1, BRCA1 A complex subunit	BRCA1-A complex subunit Abraxas 1
ABTB1	ankyrin repeat and BTB domain containing 1	Ankyrin repeat and BTB/POZ domain-containing protein 1
ACADL	acyl-CoA dehydrogenase long chain	Long-chain specific acyl-CoA dehydrogenase, mitochondrial
ACADS	acyl-CoA dehydrogenase short chain	Short-chain specific acyl-CoA dehydrogenase, mitochondrial
ACBD4	acyl-CoA binding domain containing 4	Acyl-CoA-binding domain-containing protein 4
ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)	1-aminocyclopropane-1-carboxylate synthase-like protein 1
ACE	angiotensin I converting enzyme	Angiotensin-converting enzyme
ACIN1	apoptotic chromatin condensation inducer 1	Apoptotic chromatin condensation inducer in the nucleus
ACKR4	atypical chemokine receptor 4	Atypical chemokine receptor 4
ACO1	aconitase 1	Cytoplasmic aconitate hydratase
ACO2	aconitase 2	Aconitate hydratase, mitochondrial
ACOT4	acyl-CoA thioesterase 4	Peroxisomal succinyl-coenzyme A thioesterase
ACOXL	acyl-CoA oxidase like	Acyl-coenzyme A oxidase-like protein
ACP6	acid phosphatase 6, lysophosphatidic	Lysophosphatidic acid phosphatase type 6
ACR	acrosin	Acrosin
ACSL1	acyl-CoA synthetase long chain family member 1	Long-chain-fatty-acid--CoA ligase 1
ACSL5	acyl-CoA synthetase long chain family member 5	Long-chain-fatty-acid--CoA ligase 5
ACSL6	acyl-CoA synthetase long chain family member 6	Long-chain-fatty-acid--CoA ligase 6
ACSM2A	acyl-CoA synthetase medium chain family member 2A	Acyl-coenzyme A synthetase ACSM2A, mitochondrial
ACSM3	acyl-CoA synthetase medium chain family member 3	Acyl-coenzyme A synthetase ACSM3, mitochondrial
ACSS1	acyl-CoA synthetase short chain family member 1	Acetyl-coenzyme A synthetase 2-like, mitochondrial
ACSS2	acyl-CoA synthetase short chain family member 2	Acetyl-coenzyme A synthetase, cytoplasmic
ACSS3	acyl-CoA synthetase short chain family member 3	Acyl-CoA synthetase short-chain family member 3, mitochondrial
ACTBL2	actin beta like 2	Beta-actin-like protein 2
ACTG2	actin gamma 2, smooth muscle	Actin, gamma-enteric smooth muscle
ACTL6A	actin like 6A	Actin-like protein 6A
ACTMAP	actin maturation protease	Actin maturation protease
ACTN4	actinin alpha 4	Alpha-actinin-4
ACTR1A	actin related protein 1A	Alpha-centractin
ACTR1B	actin related protein 1B	Beta-centractin
ACTR3C	actin related protein 3C	Actin-related protein 3C
ACTR5	actin related protein 5	Actin-related protein 5
ACTR8	actin related protein 8	Actin-related protein 8
ACYP2	acylphosphatase 2	Acylphosphatase-2
ADAM10	ADAM metallopeptidase domain 10	Disintegrin and metalloproteinase domain-containing protein 10
ADAM11	ADAM metallopeptidase domain 11	Disintegrin and metalloproteinase domain-containing protein 11
ADAM12	ADAM metallopeptidase domain 12	Disintegrin and metalloproteinase domain-containing protein 12
ADAM19	ADAM metallopeptidase domain 19	Disintegrin and metalloproteinase domain-containing protein 19
ADAM21	ADAM metallopeptidase domain 21	Disintegrin and metalloproteinase domain-containing protein 21
ADAM22	ADAM metallopeptidase domain 22	Disintegrin and metalloproteinase domain-containing protein 22
ADAM28	ADAM metallopeptidase domain 28	Disintegrin and metalloproteinase domain-containing protein 28
ADAM29	ADAM metallopeptidase domain 29	Disintegrin and metalloproteinase domain-containing protein 29
ADAM7	ADAM metallopeptidase domain 7	Disintegrin and metalloproteinase domain-containing protein 7
ADAMTS12	ADAM metallopeptidase with thrombospondin type 1 motif 12	A disintegrin and metalloproteinase with thrombospondin motifs 12
ADAMTS13	ADAM metallopeptidase with thrombospondin type 1 motif 13	A disintegrin and metalloproteinase with thrombospondin motifs 13
ADAMTS18	ADAM metallopeptidase with thrombospondin type 1 motif 18	A disintegrin and metalloproteinase with thrombospondin motifs 18
