# schizophrenia 用の候補リスト（5000 遺伝子）
# Open Targets (MONDO_0005090) の関連遺伝子 500 件と、
# 承認薬の標的 39 件を必ず含む（重複を除いて 504 件）。
# 残り 4496 件は HGNC approved/protein-coding から seed=0 で無作為に補充。
# 記号はすべて実在し、既知の正解が確実に含まれる。
# 形式: 記号<TAB>HGNC正式名<TAB>UniProt推奨タンパク質名（無い遺伝子は空欄）
A2ML1	alpha-2-macroglobulin like 1	Alpha-2-macroglobulin-like protein 1
A3GALT2	alpha 1,3-galactosyltransferase 2	Alpha-1,3-galactosyltransferase 2
AADACL3	arylacetamide deacetylase like 3	Arylacetamide deacetylase-like 3
AAMP	angio associated migratory cell protein	Angio-associated migratory cell protein
AASS	aminoadipate-semialdehyde synthase	Alpha-aminoadipic semialdehyde synthase, mitochondrial
ABCA13	ATP binding cassette subfamily A member 13	ATP-binding cassette sub-family A member 13
ABCA5	ATP binding cassette subfamily A member 5	Cholesterol transporter ABCA5
ABCA8	ATP binding cassette subfamily A member 8	ABC-type organic anion transporter ABCA8
ABCA9	ATP binding cassette subfamily A member 9	ATP-binding cassette sub-family A member 9
ABCB10	ATP binding cassette subfamily B member 10	ATP-binding cassette sub-family B member 10, mitochondrial
ABCB6	ATP binding cassette subfamily B member 6 (LAN blood group)	ATP-binding cassette sub-family B member 6
ABCB7	ATP binding cassette subfamily B member 7	Iron-sulfur clusters transporter ABCB7, mitochondrial
ABCC5	ATP binding cassette subfamily C member 5	ATP-binding cassette sub-family C member 5
ABCC6	ATP binding cassette subfamily C member 6	ATP-binding cassette sub-family C member 6
ABCF3	ATP binding cassette subfamily F member 3	ATP-binding cassette sub-family F member 3
ABHD1	abhydrolase domain containing 1	Protein ABHD1
ABHD12	abhydrolase domain containing 12, lysophospholipase	Lysophosphatidylserine lipase ABHD12
ABHD13	abhydrolase domain containing 13	Protein ABHD13
ABHD14A	abhydrolase domain containing 14A	Protein ABHD14A
ABHD15	abhydrolase domain containing 15	Protein ABHD15
ABHD16B	abhydrolase domain containing 16B	ABHD16B
ABHD8	abhydrolase domain containing 8	Protein ABHD8
ABI2	abl interactor 2	Abl interactor 2
ABITRAM	actin binding transcription modulator	Protein Abitram
ABLIM3	actin binding LIM protein family member 3	Actin-binding LIM protein 3
ABO	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase	Histo-blood group ABO system transferase
ABRACL	ABRA C-terminal like	Costars family protein ABRACL
ABT1	activator of basal transcription 1	Activator of basal transcription 1
ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 1
ACAT2	acetyl-CoA acetyltransferase 2	Acetyl-CoA acetyltransferase, cytosolic
ACD	ACD shelterin complex subunit and telomerase recruitment factor	Adrenocortical dysplasia protein homolog
ACE	angiotensin I converting enzyme	Angiotensin-converting enzyme
ACER3	alkaline ceramidase 3	Alkaline ceramidase 3
ACHE	acetylcholinesterase (Yt blood group)	Acetylcholinesterase
ACKR3	atypical chemokine receptor 3	Atypical chemokine receptor 3
ACKR4	atypical chemokine receptor 4	Atypical chemokine receptor 4
ACOT1	acyl-CoA thioesterase 1	Acyl-coenzyme A thioesterase 1
ACOT8	acyl-CoA thioesterase 8	Acyl-coenzyme A thioesterase 8
ACP1	acid phosphatase 1	Low molecular weight phosphotyrosine protein phosphatase
ACP3	acid phosphatase 3	Prostatic acid phosphatase
ACRV1	acrosomal vesicle protein 1	Acrosomal protein SP-10
ACSF2	acyl-CoA synthetase family member 2	Medium-chain acyl-CoA ligase ACSF2, mitochondrial
ACSF3	acyl-CoA synthetase family member 3	Malonate--CoA ligase ACSF3, mitochondrial
ACSL3	acyl-CoA synthetase long chain family member 3	Fatty acid CoA ligase Acsl3
ACSL5	acyl-CoA synthetase long chain family member 5	Long-chain-fatty-acid--CoA ligase 5
ACSM2B	acyl-CoA synthetase medium chain family member 2B	Acyl-coenzyme A synthetase ACSM2B, mitochondrial
ACSM3	acyl-CoA synthetase medium chain family member 3	Acyl-coenzyme A synthetase ACSM3, mitochondrial
ACSM4	acyl-CoA synthetase medium chain family member 4	Acyl-coenzyme A synthetase ACSM4, mitochondrial
ACSS2	acyl-CoA synthetase short chain family member 2	Acetyl-coenzyme A synthetase, cytoplasmic
ACTA2	actin alpha 2, smooth muscle	Actin, aortic smooth muscle
ACTBL2	actin beta like 2	Beta-actin-like protein 2
ACTC1	actin alpha cardiac muscle 1	Actin, alpha cardiac muscle 1
ACTL7A	actin like 7A	Actin-like protein 7A
ACTN1	actinin alpha 1	Alpha-actinin-1
ACTN2	actinin alpha 2	Alpha-actinin-2
ACTR1A	actin related protein 1A	Alpha-centractin
ACTR1B	actin related protein 1B	Beta-centractin
ACTR3	actin related protein 3	Actin-related protein 3
ACTR5	actin related protein 5	Actin-related protein 5
ACVRL1	activin A receptor like type 1	Activin receptor type-1-like
ADA	adenosine deaminase	Adenosine deaminase
ADA2	adenosine deaminase 2	Adenosine deaminase 2
ADAD1	adenosine deaminase domain containing 1	Adenosine deaminase domain-containing protein 1
ADAM10	ADAM metallopeptidase domain 10	Disintegrin and metalloproteinase domain-containing protein 10
ADAM15	ADAM metallopeptidase domain 15	Disintegrin and metalloproteinase domain-containing protein 15
ADAM19	ADAM metallopeptidase domain 19	Disintegrin and metalloproteinase domain-containing protein 19
ADAM2	ADAM metallopeptidase domain 2	Disintegrin and metalloproteinase domain-containing protein 2
ADAM21	ADAM metallopeptidase domain 21	Disintegrin and metalloproteinase domain-containing protein 21
ADAM22	ADAM metallopeptidase domain 22	Disintegrin and metalloproteinase domain-containing protein 22
ADAM30	ADAM metallopeptidase domain 30	Disintegrin and metalloproteinase domain-containing protein 30
ADAMDEC1	ADAM like decysin 1	ADAM DEC1
ADAMTS1	ADAM metallopeptidase with thrombospondin type 1 motif 1	A disintegrin and metalloproteinase with thrombospondin motifs 1
ADAMTS15	ADAM metallopeptidase with thrombospondin type 1 motif 15	A disintegrin and metalloproteinase with thrombospondin motifs 15
ADAMTS18	ADAM metallopeptidase with thrombospondin type 1 motif 18	A disintegrin and metalloproteinase with thrombospondin motifs 18
ADAMTS6	ADAM metallopeptidase with thrombospondin type 1 motif 6	A disintegrin and metalloproteinase with thrombospondin motifs 6
ADAMTSL3	ADAMTS like 3	ADAMTS-like protein 3
ADAP1	ArfGAP with dual PH domains 1	Arf-GAP with dual PH domain-containing protein 1
ADCY2	adenylate cyclase 2	Adenylate cyclase type 2
ADCY4	adenylate cyclase 4	Adenylate cyclase type 4
ADCY6	adenylate cyclase 6	Adenylate cyclase type 6
