# schizophrenia 段階0 の中間検証用の候補リスト（1000 遺伝子）
# 作成 2026-09-18。順序は下の構成の順（段階0 は並びに依存しない）。
#   1. 正解 11: C4A, GRIN2A, GRM3, DRD2, DRD3, CHRM1, CHRM3, CHRM4, COMT, GAD1, SLC6A3
#      Open Targets（MONDO_0005090）: DRD2 0.733 / DRD3 0.672 / GRIN2A 0.588 / GRM3 0.579 / CHRM3 0.489 / CHRM4 0.459 /
#      CHRM1 0.431 / SLC6A3 0.424 / COMT 0.240 / GAD1 0.120 / C4A 0.088（文献のみ）。CHRM1・CHRM4 は xanomeline（ChEMBL: M1/M4 作動薬）
#   2. 同族デコイ 50: 正解と同じ系統（ムスカリン・ニコチン・グルタミン酸・ドパミン・セロトニン・アドレナリン受容体、
#      SLC6A、GABA-A、補体）の正式記号のうち Open Targets < 0.1 の 55 個から seed=0 で 50
#   3. Open Targets 関連スコア上位 100
#   ここまで重複を除いて 153 件。残り 847 件は genelist01_all.txt から seed=0 で無作為に補充。
# 形式: 記号<TAB>HGNC正式名<TAB>UniProt推奨タンパク質名<TAB>遺伝子記号の別名
C4A		Complement C4-A	CO4,CPAMD2
GRIN2A		Glutamate receptor ionotropic, NMDA 2A	NMDAR2A
GRM3		Metabotropic glutamate receptor 3	GPRC1C,MGLUR3
DRD2		Dopamine receptor D2	
DRD3		Dopamine receptor D3	
CHRM1		Muscarinic acetylcholine receptor M1	
CHRM3		Muscarinic acetylcholine receptor M3	
CHRM4		Muscarinic acetylcholine receptor M4	
COMT		Catechol O-methyltransferase	
GAD1		Glutamate decarboxylase 1	GAD,GAD67
SLC6A3		Sodium-dependent dopamine transporter	DAT1
ADRB1		Beta-1 adrenergic receptor	ADRB1R,B1AR
ADRB2		Beta-2 adrenergic receptor	ADRB2R,B2AR
C1QA		Complement C1q subcomponent subunit A	
C1QB		Complement C1q subcomponent subunit B	
C1QC		Complement C1q subcomponent subunit C	C1QG
C2		Complement C2	
C3		Complement C3	CPAMD1
C5		Complement C5	CPAMD4
C6		Complement component C6	
C7		Complement component C7	
C8A		Complement component C8 alpha chain	
C8B		Complement component C8 beta chain	
C8G		Complement component C8 gamma chain	
C9		Complement component C9	
CFB		Complement factor B	BF,BFD
CFD		Complement factor D	DF,PFD
CFH		Complement factor H	HF,HF1,HF2
CFI		Complement factor I	IF
CHRM5		Muscarinic acetylcholine receptor M5	
CHRNA1		Acetylcholine receptor subunit alpha	ACHRA,CHNRA
CHRNA10		Neuronal acetylcholine receptor subunit alpha-10	NACHRA10
CHRNA6		Neuronal acetylcholine receptor subunit alpha-6	
CHRNA9		Neuronal acetylcholine receptor subunit alpha-9	NACHRA9
CHRNB3		Neuronal acetylcholine receptor subunit beta-3	
CHRNE		Acetylcholine receptor subunit epsilon	ACHRE
CHRNG		Acetylcholine receptor subunit gamma	ACHRG
GABRR1		Gamma-aminobutyric acid receptor subunit rho-1	
GABRR2		Gamma-aminobutyric acid receptor subunit rho-2	
GABRR3		Gamma-aminobutyric acid receptor subunit rho-3	
GRID1		Glutamate receptor ionotropic, delta-1	
GRID2		Glutamate receptor ionotropic, delta-2	GLURD2
GRIK1		Glutamate receptor ionotropic, kainate 1	GLUR5
GRIK4		Glutamate receptor ionotropic, kainate 4	GRIK
GRIK5		Glutamate receptor ionotropic, kainate 5	GRIK2
GRM4		Metabotropic glutamate receptor 4	GPRC1D,MGLUR4
GRM6		Metabotropic glutamate receptor 6	GPRC1F,MGLUR6
GRM7		Metabotropic glutamate receptor 7	GPRC1G,MGLUR7
GRM8		Metabotropic glutamate receptor 8	GPRC1H,MGLUR8
SLC6A11		Sodium- and chloride-dependent GABA transporter 3	GABT3,GAT3
SLC6A12		Sodium- and chloride-dependent betaine transporter	BGT1
SLC6A13		Sodium- and chloride-dependent GABA transporter 2	GAT2
SLC6A14		Sodium- and chloride-dependent neutral and basic amino acid transporter B	
SLC6A15		Sodium-dependent neutral amino acid transporter B(0)AT2	B0AT2,NTT73,SBAT1
SLC6A16		Orphan sodium- and chloride-dependent neurotransmitter transporter NTT5	NTT5
SLC6A17		Sodium-dependent neutral amino acid transporter SLC6A17	NTT4
SLC6A19		Sodium-dependent neutral amino acid transporter B(0)AT1	B0AT1
SLC6A20		Sodium- and chloride-dependent transporter XTRP3	SIT1,XT3,XTRP3
SLC6A5		Sodium- and chloride-dependent glycine transporter 2	GLYT2,NET1
